名前 性別 種 元ゲーム
Mario 男 人 SUPERMARIO
Donkey-Kong 男 ゴリラ DONKEYKNOG
Link 男 人 ZELDA
Samus 女 人 METROID
Dark-Samus 女 人 METROID
Yoshi 不明 恐竜 YOSHI
Kirby 不明 不明 Kirby's-Dream-Land
Fox 男 キツネ STARFOX
Pikachu 不明 ポケモン POKEMON
Luigi 男 人 SUPERMARIO
Ness 男 人 MOTHER
Captain-Falcon 男 人 F-ZERO
Purin 不明 ポケモン POKEMON
Peach 女 人 SUPERMARIO
Daisy 女 人 SUPERMARIO
Koopa 男 カメ SUPERMARIO
Ice-Climber 不明 人 ICE-CLIMBER
Sheik 不明 人 ZELDA
Zelda 女 人 ZELDA
Dr.Mario 男 人 SUPERMARIO
Pichu 不明 ポケモン POKEMON
Falco 男 鳥 STARFOX
Marth 男 人  FIRE-EMBLEM
Lucina 女 人  FIRE-EMBLEM
YoungLink 男 人 ZELDA
GanonDolf 男 人 ZELDA
Mew-Two 不明 ポケモン POKEMON
Roy 男 人  FIRE-EMBLEM
Chrom 男 人  FIRE-EMBLEM
Mr.GAME&Watch 不明 不明 GAME&WATCH
MetaNight 不明 不明 Kirby's-Dream-Land
Pit 男 天使 Kid Icarus
Black-Pit 男 天使 Kid Icarus
ZeroSuitSamus 女 人 METROID
Wario 男 人 Wario Ware
Snake 男 人 METALGEAR
Ike 男 人  FIRE-EMBLEM
Pokemon-Trainer 男 人 POKEMON
DiddyKong 男 サル DONKEYKONG
Lucas 男 人 MOTHER
Sonic 男 ハリネズミ SONIC
DEDEDE 男 不明 Kirby's-Dream-Land
Pikmin&Olimar 男 人 ピクミン
Lucario 不明 ポケモン POKEMON
Robot 不明 ロボット FAMILY-COMPUTER-ROBOT
ToonLink 男 人 ZELDA
Wolf 男 オオカミ STARFOX
Murabito 不明 人  AnimalCrossing
RockMan 不明 不明 ROCKMAN
WiiFitTrainer 不明 人 WiiFit
Rosetta&Chiko 女 人 SUPERMARIO
LittleMac 男 人 PUNCH-OUT
Gekkouga 不明 ポケモン POKEMON
Mii-Fighter 不明 人 Mii
Palutena 女 天使 Kid Icarus
Pac-Man 不明 不明 Pac-Man
Refle 男 人 FIRE-EMBLEM
Shulk 男 人 Xenoblade
KoopaJr. 男 カメ SUPERMARIO
DuckHunt 不明 犬 DuckHunt
Ryu 男 人 STREAT-FIGHTER
Ken 男 人 STREAT-FIGHTER
Cloud 男 人 FINAL-FANTASY
Kamui 不明 人 FIRE-EMBLEM
Beyonetta 女 人 BEYONETTA
Inkling 不明 イカ Splatoon
Ridley 不明 不明 METROID
Simon 男 人 Castlevania
Richter 男 人 Castlevania
King-K-Rool 男 ワニ DONKEYKNOG
Shizue 女 犬  AnimalCrossing
Gaogaen 不明 ポケモン POKEMON
PackunFlower 不明 植物 SUPERMARIO
Joker 男 人 PERSONA5
Hero 不明 人 DragonQuest
Banjo&Kazooie 男 くま、鳥 Banjo-Kazooie
